fecha;indicativo;nombre;provincia;altitud;tmed;prec;tmin;horatmin;tmax;horatmax;dir;velmedia;racha;horaracha;sol;presMax;horaPresMax;presMin;horaPresMin;hrMedia;hrMax;horaHrMax;hrMin;horaHrMin,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
1;12;45;59;05:30;31;15:00,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-08-06,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"27,0","0,0","22,7",04:50,"31,3",10:40,12.0,"1,9","7,8",14:50,"11,8","1015,2",0.0,"1011,6",17,62.0,76.0,Varias,50.0,09:40
,2025-08-07,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"26,8","0,0","22,5",04:30,"31,0",12:20,10.0,"2,2","7,5",11:10,"12,4","1013,8",23.0,"1011,9",Varias,69.0,84.0,23:30,59.0,09:10
,2025-08-08,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"27,5","0,0","22,6",05:40,"32,4",14:20,10.0,"1,9","7,2",13:50,"12,4","1014,7",23.0,"1012,7",17,68.0,88.0,03:30,48.0,14:20
,2025-08-09,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"27,4","0,0","22,3",05:40,"32,6",13:30,11.0,"1,7","6,1",14:00,"12,8","1016,1",22.0,"1013,1",04,58.0,79.0,03:50,41.0,14:30
,2025-08-10,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"28,5","0,0","22,3",04:30,"34,7",13:10,10.0,"1,9","5,3",14:10,"12,7","1016,1",11.0,"1013,0",19,54.0,73.0,05:20,37.0,09:40
,2025-08-11,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"32,0","0,0","27,1",00:00,"36,9",12:00,27.0,"1,9","6,4",04:00,"11,3","1013,3",0.0,"1009,1",18,43.0,77.0,23:59,32.0,12:00
,2025-08-12,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"30,1","0,0","25,1",05:30,"35,1",13:20,12.0,"1,7","6,4",13:50,"11,9","1011,7",10.0,"1009,4",17,57.0,84.0,22:40,40.0,13:20
,2025-08-13,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"29,6","0,0","24,3",05:30,"35,0",13:00,9.0,"2,5","6,7",13:10,"10,2","1011,4",22.0,"1009,4",19,53.0,79.0,00:10,34.0,12:40
,2025-08-14,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"28,6","0,0","23,5",05:40,"33,8",13:50,10.0,"1,9","6,4",13:00,"12,2","1013,1",24.0,"1010,4",03,56.0,72.0,20:00,41.0,15:40
,2025-08-15,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"29,6","0,0","23,3",04:00,"35,8",13:10,27.0,"2,8","6,1",07:20,"12,5","1014,2",10.0,"1012,4",Varias,49.0,72.0,20:40,32.0,08:50
,2025-08-16,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"29,4","0,0","23,9",04:50,"34,8",13:30,11.0,"1,7","5,3",Varias,"12,2","1013,6",0.0,"1010,1",24,44.0,54.0,00:10,33.0,13:20
,2025-08-17,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"31,2","0,0","25,2",06:00,"37,3",14:00,28.0,"1,7","5,8",01:00,"10,8","1010,1",0.0,"1006,5",24,36.0,57.0,08:00,25.0,14:40
,2025-08-18,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"30,4","5,8","25,8",23:20,"34,9",11:20,9.0,"2,2","10,0",14:10,"7,2","1009,9",16.0,"1005,7",14,77.0,89.0,23:40,36.0,00:00
,2025-08-19,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"28,9",Ip,"24,1",05:50,"33,7",11:40,27.0,"1,9","10,0",02:30,"9,3","1009,9",3.0,"1004,1",18,60.0,89.0,Varias,38.0,11:10
,2025-08-20,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"27,0","5,8","23,0",23:59,"30,9",11:30,10.0,"2,2","7,2",11:40,"7,2","1006,9",22.0,"1004,1",03,58.0,91.0,22:00,40.0,11:30
,2025-08-21,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"26,0","0,0","21,4",02:40,"30,5",11:30,14.0,"3,3","8,6",12:30,"12,1","1010,6",24.0,"1005,8",Varias,53.0,81.0,00:00,36.0,09:10
,2025-08-22,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"26,2","0,0","22,6",06:00,"29,7",13:10,16.0,"2,5","7,5",11:40,"9,2","1011,5",23.0,"1009,4",04,55.0,78.0,00:10,44.0,11:10
,2025-08-23,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"25,8","0,0","21,2",05:30,"30,4",14:20,10.0,"2,2","8,3",13:10,"8,8","1012,3",10.0,"1009,0",17,65.0,82.0,02:50,57.0,Varias
,2025-08-24,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"27,6","0,0","22,7",05:30,"32,4",11:30,9.0,"2,2","7,5",15:00,"10,6","1011,1",24.0,"1008,5",04,68.0,88.0,05:40,44.0,12:30
,2025-08-25,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"27,6",Ip,"24,3",23:59,"31,0",14:10,10.0,"1,1","5,3",11:20,"5,1","1012,4",10.0,"1009,5",24,71.0,83.0,02:50,54.0,13:50
,2025-08-26,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"27,4","0,0","22,7",04:50,"32,0",10:40,10.0,"2,2","6,7",15:00,"10,7","1009,5",0.0,"1005,4",18,62.0,70.0,00:00,44.0,10:40
,2025-08-27,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"27,2","0,0","23,4",05:30,"31,0",12:20,9.0,"2,2","8,9",13:10,"11,3","1006,2",0.0,"1000,9",19,66.0,83.0,23:30,50.0,08:20
,2025-08-28,8500A,CASTELLÓ - ALMASSORA,CASTELLON,43.0,"26,4","12,0","20,7",23:30,"32,2",11:00,4.0,"2,2","11,4",23:00,"7,4","1006,5",23.0,"1000,6",04,61.0,86.0,Varias,46.0,10:20
